fiscal_year,strategic_area,department_name,department_alias,operating_budget,capital_budget,employee_count,is_actual
FY 2021-22,Policy Formulation,Office of the Mayor,,7591000,0,,true
FY 2021-22,Policy Formulation,Board of County Commissioners,,29174000,0,,true
FY 2021-22,Policy Formulation,County Attorney's Office,,29846000,0,,true
FY 2021-22,Public Safety,Corrections and Rehabilitation,,429234000,0,,true
FY 2021-22,Public Safety,Fire Rescue,,608137000,0,,true
FY 2021-22,Public Safety,Judicial Administration,,38698000,0,,true
FY 2021-22,Public Safety,Juvenile Services,,15311000,0,,true
FY 2021-22,Public Safety,Law Library,,285000,0,,true
FY 2021-22,Public Safety,Legal Aid,,4611000,0,,true
FY 2021-22,Public Safety,Medical Examiner,,13266000,0,,true
FY 2021-22,Public Safety,Miami-Dade Economic Advocacy Trust,,461000,0,,true
FY 2021-22,Public Safety,Clerk of the Court and Comptroller,,17070000,0,,true
FY 2021-22,Public Safety,Sheriff's Office,,805007000,0,,true
FY 2021-22,Public Safety,General Government Improvement Fund,,12690000,0,,true
FY 2021-22,Public Safety,Non-Departmental,,8538000,0,,true
FY 2021-22,Public Safety,Independent Civilian Panel,,21000,0,,true
FY 2021-22,Transportation & Mobility,Office of the Citizens' Independent Transportation Trust,,2588000,0,,true
FY 2021-22,Transportation & Mobility,Transportation and Public Works,,662440000,0,,true
FY 2021-22,Transportation & Mobility,General Government Improvement Fund,,3000,0,,true
FY 2021-22,Recreation & Culture,Adrienne Arsht Center for the Performing Arts Trust,,14221000,0,,true
FY 2021-22,Recreation & Culture,Cultural Affairs,,42800000,0,,true
FY 2021-22,Recreation & Culture,HistoryMiami,,4000000,0,,true
FY 2021-22,Recreation & Culture,Library,,78840000,0,,true
FY 2021-22,Recreation & Culture,"Parks, Recreation and Open Spaces",,157426000,0,,true
FY 2021-22,Recreation & Culture,Perez Art Museum Miami,,4000000,0,,true
FY 2021-22,Recreation & Culture,Tourist Taxes,,198874000,0,,true
FY 2021-22,Recreation & Culture,Vizcaya Museum and Gardens,,2500000,0,,true
FY 2021-22,Recreation & Culture,General Government Improvement Fund,,2786000,0,,true
FY 2021-22,Recreation & Culture,Non-Departmental,,3880000,0,,true
FY 2021-22,Neighborhood & Infrastructure,Animal Services,,29733000,0,,true
FY 2021-22,Neighborhood & Infrastructure,"Parks, Recreation and Open Spaces",,62784000,0,,true
FY 2021-22,Neighborhood & Infrastructure,Regulatory and Economic Resources,,153544000,0,,true
FY 2021-22,Neighborhood & Infrastructure,Solid Waste Management,,370320000,0,,true
FY 2021-22,Neighborhood & Infrastructure,Transportation and Public Works,,33671000,0,,true
FY 2021-22,Neighborhood & Infrastructure,Water and Sewer,,631166000,0,,true
FY 2021-22,Neighborhood & Infrastructure,General Government Improvement Fund,,3233000,0,,true
FY 2021-22,Neighborhood & Infrastructure,Non-Departmental,,121517000,0,,true
FY 2021-22,Health & Society,Community Services,,197861000,0,,true
FY 2021-22,Health & Society,Homeless Trust,,64278000,0,,true
FY 2021-22,Health & Society,Jackson Health System,,237687000,0,,true
FY 2021-22,Health & Society,Management and Budget,,21397000,0,,true
FY 2021-22,Health & Society,Housing and Community Development,,105439000,0,,true
FY 2021-22,Health & Society,General Government Improvement Fund,,12962000,0,,true
FY 2021-22,Health & Society,Non-Departmental,,35180000,0,,true
FY 2021-22,Economic Development,Aviation,,514324000,0,,true
FY 2021-22,Economic Development,Miami-Dade Economic Advocacy Trust,,4252000,0,,true
FY 2021-22,Economic Development,Housing and Community Development,,136312000,0,,true
FY 2021-22,Economic Development,Regulatory and Economic Resources,,5778000,0,,true
FY 2021-22,Economic Development,Seaport,,72971000,0,,true
FY 2021-22,Economic Development,Non-Departmental,,138856000,0,,true
FY 2021-22,General Government,Audit and Management Services,,4981000,0,,true
FY 2021-22,General Government,Commission on Ethics and Public Trust,,2696000,0,,true
FY 2021-22,General Government,Communications and Customer Experience,,20155000,0,,true
FY 2021-22,General Government,Supervisor of Elections,,28508000,0,,true
FY 2021-22,General Government,Finance,,47778000,0,,true
FY 2021-22,General Government,Inspector General,,7226000,0,,true
FY 2021-22,General Government,Human Resources,,17511000,0,,true
FY 2021-22,General Government,Information Technology,,209761000,0,,true
FY 2021-22,General Government,Internal Services,,258333000,0,,true
FY 2021-22,General Government,Management and Budget,,13276000,0,,true
FY 2021-22,General Government,Property Appraiser,,49285000,0,,true
FY 2021-22,General Government,General Government Improvement Fund,,4432000,0,,true
FY 2021-22,General Government,Non-Departmental,,174956000,0,,true
FY 2021-22,Constitutional Offices,Clerk of the Court and Comptroller,,1702000,0,,true
FY 2021-22,Constitutional Offices,Transfers,,29345000,0,,true
