fiscal_year,strategic_area,department_name,department_alias,operating_budget,capital_budget,employee_count,is_actual
FY 2024-25,Policy Formulation,Office of the Mayor,,9639000,0,,false
FY 2024-25,Policy Formulation,Board of County Commissioners,,46213000,0,,false
FY 2024-25,Policy Formulation,County Attorney's Office,,41302000,0,,false
FY 2024-25,Public Safety,Corrections and Rehabilitation,,523039000,0,,false
FY 2024-25,Public Safety,Fire Rescue,,751862000,0,,false
FY 2024-25,Public Safety,Emergency Management,,12032000,0,,false
FY 2024-25,Public Safety,Judicial Administration,,52362000,0,,false
FY 2024-25,Public Safety,Juvenile Services,,22228000,0,,false
FY 2024-25,Public Safety,Law Library,,579000,0,,false
FY 2024-25,Public Safety,Legal Aid,,6556000,0,,false
FY 2024-25,Public Safety,Medical Examiner,,17986000,0,,false
FY 2024-25,Public Safety,Miami-Dade Economic Advocacy Trust,,1041000,0,,false
FY 2024-25,Public Safety,General Government Improvement Fund,,39564000,0,,false
FY 2024-25,Public Safety,Non-Departmental,,9250000,0,,false
FY 2024-25,Transportation & Mobility,Office of the Citizens' Independent Transportation Trust,,4334000,0,,false
FY 2024-25,Transportation & Mobility,Transportation and Public Works,,803876000,0,,false
FY 2024-25,Transportation & Mobility,Non-Departmental,,16300000,0,,false
FY 2024-25,Recreation & Culture,Adrienne Arsht Center for the Performing Arts Trust,,14558000,0,,false
FY 2024-25,Recreation & Culture,Cultural Affairs,,71564000,0,,false
FY 2024-25,Recreation & Culture,HistoryMiami,,4000000,0,,false
FY 2024-25,Recreation & Culture,Library,,114793000,0,,false
FY 2024-25,Recreation & Culture,"Parks, Recreation and Open Spaces",,208760000,0,,false
FY 2024-25,Recreation & Culture,Perez Art Museum Miami,,4000000,0,,false
FY 2024-25,Recreation & Culture,Tourist Taxes,,208030000,0,,false
FY 2024-25,Recreation & Culture,Vizcaya Museum and Gardens,,4000000,0,,false
FY 2024-25,Recreation & Culture,General Government Improvement Fund,,3788000,0,,false
FY 2024-25,Recreation & Culture,Non-Departmental,,22749000,0,,false
FY 2024-25,Neighborhood & Infrastructure,Animal Services,,43098000,0,,false
FY 2024-25,Neighborhood & Infrastructure,"Parks, Recreation and Open Spaces",,82509000,0,,false
FY 2024-25,Neighborhood & Infrastructure,Regulatory and Economic Resources,,248502000,0,,false
FY 2024-25,Neighborhood & Infrastructure,Solid Waste Management,,425138000,0,,false
FY 2024-25,Neighborhood & Infrastructure,Transportation and Public Works,,51407000,0,,false
FY 2024-25,Neighborhood & Infrastructure,Water and Sewer,,789092000,0,,false
FY 2024-25,Neighborhood & Infrastructure,General Government Improvement Fund,,30853000,0,,false
FY 2024-25,Neighborhood & Infrastructure,Non-Departmental,,2854000,0,,false
FY 2024-25,Health & Society,Community Services,,186107000,0,,false
FY 2024-25,Health & Society,Homeless Trust,,102627000,0,,false
FY 2024-25,Health & Society,Jackson Health System,,325338000,0,,false
FY 2024-25,Health & Society,Management and Budget,,27000000,0,,false
FY 2024-25,Health & Society,Housing and Community Development,,146888000,0,,false
FY 2024-25,Health & Society,General Government Improvement Fund,,8358000,0,,false
FY 2024-25,Health & Society,Non-Departmental,,64120000,0,,false
FY 2024-25,Economic Development,Aviation,,736756000,0,,false
FY 2024-25,Economic Development,Miami-Dade Economic Advocacy Trust,,14065000,0,,false
FY 2024-25,Economic Development,Housing and Community Development,,175246000,0,,false
FY 2024-25,Economic Development,Regulatory and Economic Resources,,10194000,0,,false
FY 2024-25,Economic Development,Seaport,,187739000,0,,false
FY 2024-25,Economic Development,Non-Departmental,,108156000,0,,false
FY 2024-25,General Government,Commission on Ethics and Public Trust,,3294000,0,,false
FY 2024-25,General Government,Communications and Customer Experience,,27932000,0,,false
FY 2024-25,General Government,Finance,,6379000,0,,false
FY 2024-25,General Government,Inspector General,,9008000,0,,false
FY 2024-25,General Government,Internal Compliance,,27835000,0,,false
FY 2024-25,General Government,Human Resources,,22507000,0,,false
FY 2024-25,General Government,Information Technology,,248771000,0,,false
FY 2024-25,General Government,Internal Services,,389848000,0,,false
FY 2024-25,General Government,Management and Budget,,30581000,0,,false
FY 2024-25,General Government,Regulatory and Economic Resources,,1364000,0,,false
FY 2024-25,General Government,General Government Improvement Fund,,28783000,0,,false
FY 2024-25,General Government,Non-Departmental,,171951000,0,,false
FY 2024-25,General Government,Strategic Procurement,,36259000,0,,false
FY 2024-25,Constitutional Offices,Supervisor of Elections,,45330000,0,,false
FY 2024-25,Constitutional Offices,Tax Collector,,42505000,0,,false
FY 2024-25,Constitutional Offices,Clerk of the Court and Comptroller,,52883000,0,,false
FY 2024-25,Constitutional Offices,Sheriff's Office,,958349000,0,,false
FY 2024-25,Constitutional Offices,Property Appraiser,,63212000,0,,false
FY 2024-25,Constitutional Offices,Non-Departmental,,62966000,0,,false
FY 2024-25,Constitutional Offices,Transfers,,31293000,0,,false
